club_name,division,average_attendance,median_attendance
鹿島アントラーズ,1,26016,22923
浦和レッズ,1,36823,35636
東京ヴェルディ,1,20659,17477
横浜F・マリノス,1,24907,23670
清水エスパルス,1,19273,17629
名古屋グランパス,1,32153,33030
ガンバ大阪,1,29471,29504
サンフレッチェ広島,1,25450,25324
柏レイソル,1,12851,13030
湘南ベルマーレ,1,11333,11644
ヴィッセル神戸,1,20772,21920
セレッソ大阪,1,18706,18674
川崎フロンターレ,1,21884,21966
FC東京,1,31721,33460
アビスパ福岡,1,9556,9783
京都サンガF.C.,1,15647,16302
横浜FC,1,10147,9697
ファジアーノ岡山,1,14508,14653
FC町田ゼルビア,1,12340,10220
アルビレックス新潟,1,22814,22222
ジェフユナイテッド千葉,2,15340,12829
ジュビロ磐田,2,12223,11648
北海道コンサドーレ札幌,2,14697,13515
大宮アルディージャ,2,11191,11236
ヴァンフォーレ甲府,2,8182,7948
モンテディオ山形,2,11076,10079
大分トリニータ,2,10576,9928
サガン鳥栖,2,9200,7498
徳島ヴォルティス,2,6865,6091
愛媛FC,2,4622,3870
ロアッソ熊本,2,5880,4959
カターレ富山,2,5732,5201
V・ファーレン長崎,2,15186,14869
ベガルタ仙台,2,13146,11556
水戸ホーリーホック,2,5244,4548
ブラウブリッツ秋田,2,4607,4274
藤枝MYFC,2,4927,4444
レノファ山口FC,2,5323,5013
FC今治,2,4737,4897
いわきFC,2,4340,4375
ザスパ群馬,3,3503,2968
FC岐阜,3,4852,4701
栃木SC,3,5251,4376
ギラヴァンツ北九州,3,5244,4429
ガイナーレ鳥取,3,2978,2152
松本山雅FC,3,8628,8103
カマタマーレ讃岐,3,2073,1770
福島ユナイテッドFC,3,2565,2224
SC相模原,3,2428,2024
AC長野パルセイロ,3,4458,3624
ツエーゲン金沢,3,5205,4836
FC琉球,3,2849,2578
鹿児島ユナイテッドFC,3,6443,6637
アスルクラロ沼津,3,3238,2844
ヴァンラーレ八戸,3,2143,1955
テゲバジャーロ宮崎,3,2214,1576
FC大阪,3,2807,2818
奈良クラブ,3,2186,2176
高知ユナイテッドSC,3,2522,2033
栃木シティ,3,2953,3150
