club_name,play_style_attack,play_style_defense
柏レイソル,0.548,0.458
アルビレックス新潟,0.273,0.345
セレッソ大阪,0.655,0.338
湘南ベルマーレ,0.327,0.406
ガンバ大阪,0.619,0.411
ヴィッセル神戸,0.598,0.628
ＦＣ東京,0.431,0.382
浦和レッズ,0.495,0.476
横浜Ｆ・マリノス,0.29,0.35
川崎フロンターレ,0.704,0.526
清水エスパルス,0.467,0.404
鹿島アントラーズ,0.52,0.517
サンフレッチェ広島,0.709,0.733
京都サンガF.C.,0.538,0.457
東京ヴェルディ,0.179,0.634
名古屋グランパス,0.404,0.48
アビスパ福岡,0.53,0.573
ＦＣ町田ゼルビア,0.565,0.727
横浜ＦＣ,0.24,0.631
ファジアーノ岡山,0.456,0.599
ジュビロ磐田,0.416,0.343
北海道コンサドーレ札幌,0.408,0.274
Ｖ・ファーレン長崎,0.681,0.506
藤枝ＭＹＦＣ,0.487,0.422
徳島ヴォルティス,0.353,0.589
モンテディオ山形,0.401,0.321
ロアッソ熊本,0.436,0.433
サガン鳥栖,0.369,0.533
ベガルタ仙台,0.533,0.696
水戸ホーリーホック,0.531,0.648
ＦＣ今治,0.582,0.611
ジェフユナイテッド千葉,0.473,0.402
レノファ山口ＦＣ,0.429,0.536
ＲＢ大宮アルディージャ,0.712,0.485
カターレ富山,0.254,0.385
愛媛ＦＣ,0.241,0.323
いわきＦＣ,0.662,0.698
ヴァンフォーレ甲府,0.34,0.519
大分トリニータ,0.229,0.664
ブラウブリッツ秋田,0.628,0.54
ザスパ群馬,0.384,0.305
奈良クラブ,0.303,0.425
ツエーゲン金沢,0.591,0.665
ガイナーレ鳥取,0.11,0.448
ＦＣ琉球,0.278,0.198
栃木シティ,0.775,0.576
福島ユナイテッドＦＣ,0.489,0.143
松本山雅ＦＣ,0.279,0.458
アスルクラロ沼津,0.289,0.362
テゲバジャーロ宮崎,0.406,0.636
ＦＣ岐阜,0.562,0.476
ＡＣ長野パルセイロ,0.275,0.414
栃木ＳＣ,0.481,0.787
ギラヴァンツ北九州,0.379,0.47
鹿児島ユナイテッドＦＣ,0.869,0.727
ＳＣ相模原,0.26,0.491
カマタマーレ讃岐,0.464,0.462
ＦＣ大阪,0.609,0.62
ヴァンラーレ八戸,0.529,0.867
高知ユナイテッドＳＣ,0.702,0.723
