club_name,instagram_followers,twitter_followers,youtube_subscribers
鹿島アントラーズ,213646,470438,95700
浦和レッズ,207669,477018,94200
柏レイソル,60633,84391,31100
FC東京,122707,269773,70700
東京ヴェルディ,327523,72667,91900
FC町田ゼルビア,55480,75484,24600
川崎フロンターレ,204368,475992,122000
横浜F・マリノス,179838,502274,104000
横浜FC,54325,74972,17500
湘南ベルマーレ,57228,170585,21700
アルビレックス新潟,68781,158782,44900
清水エスパルス,87579,188129,49400
名古屋グランパス,122054,452819,64000
京都サンガF.C.,52902,93206,23900
ガンバ大阪,128904,247296,76200
セレッソ大阪,158869,247647,107000
ヴィッセル神戸,322708,218737,147000
ファジアーノ岡山,46571,46429,20400
サンフレッチェ広島,113074,261567,68600
アビスパ福岡,54446,126687,16800
