club_name,strength_score,strength_score_1,strength_score_2,strength_score_3,strength_score_4,strength_long_term
鹿島アントラーズ,1.0,0.937,0.929,0.947,0.953,0.953
京都サンガF.C.,0.984,0.795,0.788,0.735,0.686,0.798
柏レイソル,0.968,0.747,0.718,0.894,0.779,0.821
ヴィッセル神戸,0.953,1.0,1.0,0.788,0.968,0.942
サンフレッチェ広島,0.937,0.984,0.965,0.965,0.842,0.939
ＦＣ町田ゼルビア,0.921,0.968,0.7,0.5,0.643,0.746
川崎フロンターレ,0.905,0.889,0.876,0.982,1.0,0.93
浦和レッズ,0.889,0.811,0.947,0.859,0.921,0.885
ガンバ大阪,0.874,0.953,0.735,0.753,0.811,0.825
セレッソ大阪,0.858,0.858,0.859,0.929,0.826,0.866
清水エスパルス,0.842,0.7,0.657,0.718,0.795,0.742
ファジアーノ岡山,0.826,0.637,0.571,0.671,0.557,0.652
ＦＣ東京,0.811,0.905,0.824,0.912,0.874,0.865
アビスパ福岡,0.795,0.826,0.894,0.771,0.889,0.835
名古屋グランパス,0.779,0.842,0.912,0.876,0.937,0.869
東京ヴェルディ,0.763,0.921,0.671,0.586,0.543,0.697
横浜Ｆ・マリノス,0.747,0.874,0.982,1.0,0.984,0.917
横浜ＦＣ,0.732,0.684,0.7,0.686,0.7,0.7
湘南ベルマーレ,0.716,0.779,0.753,0.806,0.763,0.763
アルビレックス新潟,0.7,0.763,0.841,0.7,0.629,0.727
水戸ホーリーホック,0.7,0.479,0.471,0.529,0.571,0.55
Ｖ・ファーレン長崎,0.684,0.668,0.614,0.557,0.657,0.636
ジェフユナイテッド千葉,0.668,0.605,0.629,0.571,0.6,0.615
徳島ヴォルティス,0.653,0.589,0.5,0.6,0.747,0.618
ベガルタ仙台,0.637,0.621,0.486,0.614,0.716,0.615
ＲＢ大宮アルディージャ,0.621,0.5,0.414,0.443,0.486,0.493
サガン鳥栖,0.605,0.7,0.771,0.824,0.905,0.761
ジュビロ磐田,0.589,0.732,0.686,0.7,0.7,0.681
ＦＣ今治,0.574,0.484,0.453,0.429,0.286,0.445
いわきＦＣ,0.558,0.574,0.457,0.5,,0.522
北海道コンサドーレ札幌,0.542,0.716,0.806,0.841,0.858,0.753
ヴァンフォーレ甲府,0.526,0.495,0.6,0.457,0.671,0.55
モンテディオ山形,0.511,0.653,0.643,0.629,0.614,0.61
ブラウブリッツ秋田,0.495,0.558,0.529,0.543,0.529,0.531
藤枝ＭＹＦＣ,0.479,0.511,0.543,0.482,0.307,0.464
ロアッソ熊本,0.463,0.526,0.514,0.657,0.5,0.532
大分トリニータ,0.447,0.463,0.586,0.643,0.732,0.574
カターレ富山,0.432,0.468,0.468,0.412,0.436,0.443
レノファ山口ＦＣ,0.416,0.542,0.429,0.486,0.5,0.475
愛媛ＦＣ,0.4,0.447,0.5,0.394,0.429,0.434
ヴァンラーレ八戸,0.5,0.342,0.405,0.341,0.243,0.366
栃木シティ,0.484,,,,,0.484
鹿児島ユナイテッドＦＣ,0.468,0.416,0.484,0.465,0.371,0.441
ＦＣ大阪,0.453,0.421,0.342,,,0.405
テゲバジャーロ宮崎,0.437,0.279,0.216,0.359,0.457,0.35
奈良クラブ,0.421,0.247,0.437,,,0.368
栃木ＳＣ,0.405,,,,,0.405
ツエーゲン金沢,0.389,0.326,0.4,0.514,0.471,0.42
ギラヴァンツ北九州,0.374,0.405,0.2,0.288,0.414,0.336
ＦＣ岐阜,0.358,0.389,0.389,0.271,0.393,0.36
福島ユナイテッドＦＣ,0.342,0.437,0.279,0.324,0.414,0.359
ガイナーレ鳥取,0.326,0.311,0.421,0.306,0.264,0.326
ＳＣ相模原,0.311,0.374,0.232,0.2,0.443,0.312
松本山雅ＦＣ,0.295,0.453,0.374,0.447,0.4,0.394
ＦＣ琉球,0.279,0.295,0.247,0.414,0.586,0.364
高知ユナイテッドＳＣ,0.263,,,,,0.263
ＡＣ長野パルセイロ,0.247,0.232,0.295,0.376,0.329,0.296
ザスパ群馬,0.232,0.4,0.557,0.429,0.457,0.415
カマタマーレ讃岐,0.216,0.263,0.263,0.218,0.2,0.232
アスルクラロ沼津,0.2,0.358,0.311,0.253,0.221,0.269
