club_name,top_promotion_count,top_promotion_count_1,top_promotion_count_2,top_promotion_count_3,top_promotion_count_4,youth_promotion_score
鹿島アントラーズ,3,0.0,1.0,1.0,1.0,6
浦和レッズ,1,0.0,2.0,0.0,2.0,5
柏レイソル,2,0.0,2.0,3.0,2.0,9
ＦＣ東京,4,1.0,5.0,3.0,1.0,14
東京ヴェルディ,1,2.0,0.0,1.0,1.0,5
ＦＣ町田ゼルビア,1,0.0,0.0,1.0,0.0,2
川崎フロンターレ,1,1.0,2.0,2.0,0.0,6
横浜Ｆ・マリノス,3,0.0,0.0,2.0,2.0,7
横浜ＦＣ,1,3.0,4.0,1.0,0.0,9
湘南ベルマーレ,1,1.0,0.0,2.0,2.0,6
アルビレックス新潟,1,2.0,0.0,0.0,0.0,3
清水エスパルス,1,1.0,1.0,2.0,1.0,6
名古屋グランパス,2,2.0,1.0,3.0,1.0,9
京都サンガF.C.,1,2.0,2.0,0.0,1.0,6
ガンバ大阪,1,1.0,1.0,2.0,0.0,5
セレッソ大阪,1,0.0,2.0,2.0,0.0,5
ヴィッセル神戸,1,1.0,3.0,1.0,0.0,6
ファジアーノ岡山,2,0.0,0.0,0.0,0.0,2
サンフレッチェ広島,0,2.0,2.0,1.0,0.0,5
アビスパ福岡,4,0.0,0.0,0.0,1.0,5
北海道コンサドーレ札幌,0,1.0,0.0,0.0,1.0,2
ベガルタ仙台,1,0.0,0.0,0.0,0.0,1
ブラウブリッツ秋田,1,0.0,1.0,0.0,0.0,2
モンテディオ山形,0,2.0,0.0,0.0,0.0,2
いわきＦＣ,0,0.0,0.0,0.0,,0
水戸ホーリーホック,0,0.0,1.0,0.0,1.0,2
RB大宮アルディージャ,2,2.0,1.0,2.0,2.0,9
ジェフユナイテッド千葉,1,1.0,2.0,2.0,0.0,6
ヴァンフォーレ甲府,1,0.0,0.0,1.0,0.0,2
カターレ富山,0,0.0,0.0,0.0,0.0,0
ジュビロ磐田,2,0.0,1.0,1.0,1.0,5
藤枝ＭＹＦＣ,0,0.0,0.0,0.0,0.0,0
レノファ山口ＦＣ,0,1.0,0.0,0.0,0.0,1
徳島ヴォルティス,1,0.0,0.0,0.0,1.0,2
愛媛ＦＣ,1,0.0,2.0,1.0,0.0,4
ＦＣ今治,0,1.0,0.0,0.0,0.0,1
サガン鳥栖,2,2.0,4.0,1.0,3.0,12
Ｖ・ファーレン長崎,0,2.0,0.0,1.0,1.0,4
ロアッソ熊本,0,1.0,1.0,1.0,0.0,3
大分トリニータ,1,3.0,2.0,1.0,1.0,8
ヴァンラーレ八戸,0,0.0,0.0,0.0,0.0,0
福島ユナイテッドＦＣ,0,0.0,0.0,0.0,0.0,0
栃木ＳＣ,0,1.0,0.0,0.0,1.0,2
栃木シティ,0,,,,,0
ザスパ群馬,0,0.0,0.0,0.0,0.0,0
ＳＣ相模原,0,0.0,0.0,0.0,0.0,0
松本山雅ＦＣ,1,0.0,1.0,0.0,2.0,4
ＡＣ長野パルセイロ,0,0.0,1.0,0.0,0.0,1
ツエーゲン金沢,0,0.0,0.0,1.0,0.0,1
アスルクラロ沼津,0,0.0,1.0,0.0,1.0,2
ＦＣ岐阜,0,0.0,0.0,1.0,0.0,1
ＦＣ大阪,0,0.0,0.0,,,0
奈良クラブ,1,0.0,0.0,,,1
ガイナーレ鳥取,0,0.0,1.0,0.0,0.0,1
カマタマーレ讃岐,0,0.0,1.0,2.0,0.0,3
高知ユナイテッドＳＣ,0,,,,,0
ギラヴァンツ北九州,1,1.0,1.0,0.0,0.0,3
テゲバジャーロ宮崎,0,0.0,1.0,0.0,0.0,1
鹿児島ユナイテッドＦＣ,0,1.0,1.0,0.0,0.0,2
ＦＣ琉球,0,1.0,1.0,0.0,0.0,2
